College Name,Address,Phone#,Website,Type,Degrees,Campus Type,Campus Housing,Student Pop,StudentsToTeachers,MissionStatement,Classification,SLOs,Religious Affiliation,Credits Accepted,Faculty(full-time),Faculty(part-time),Graduate Assistants,Tuition,Books/Supplies,Room/Board,Total Expenses,Undergraduate Avg Tuition (In-State),Undergraduate Avg Tuition (Out-of-State),Graduate Avg Tuition (In-State),Graduate Avg Tuition (Out-of-State),Avg Tuition,Avg Aid(grants),Gender Demographic(Male),Gender Demographic(Female),Ethnic Demographic (American Indian or Alaska Native),Ethnic Demographic (Asian),Ethnic Demographic(Black or African American),Ethnic Demographic(Hispanic/Latino),Ethnic Demographic(Native Hawaiian or other Pacific Islander),Ethnic Demographic(White),Ethnic Demographic(Two or more races),Ethnic Demographic(Unknown),Ethnic Demographic(Non-resident alien),Avg Student Age (24 and Under),Avg Student Age(25 and Over),Avg Student Residence (In-State),Avg Student Residence(Out-of-State),Avg Student Residence(Foreign Countries),Graduate Attendance Status(Full-time),Graduate Attendance Status(Part-time),Undergraduate Education Status (Remote),Undergraduate Education Status (In-Person),Graduate Education Status (Remote),Graduate Education Status (In-Person),Application Fee,Total Applicants,Percent Admitted,Percent Admitted Enrolled,Secondary School GPA,Secondary School Rank,Secondary School Record,Completion of College-Prep Program,Recommendation,SAT/ACT,TOEFL,Students Submitting Scores (SAT),Students Submitting Scores (ACT),SAT English 25th Percentile,SAT English 75th Percentile,SAT Math 25th percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,ACT English 25th Percentile,ACT English 75th Percentile,ACT Math 25th Percentile,ACT Math 75th Percentile,First-to-Second Year Retention Rate,Graduation Rate,Transfer Rate,Graduation Rate (Male),Graduation Rate (Female),Graduation Rate by Race/Ethnicity(American Indian or Alaska Native),Graduation Rate by Race/Ethnicity(Asian),Graduation Rate by Race/Ethnicity(Black or African American),Graduation Rate by Race/Ethnicity(Hispanic/Latino),Graduation Rate by Race/Ethnicity(Native Hawaiian or other Pacific Islander),Graduation Rate by Race/Ethnicity(White),Graduation Rate by Race/Ethnicity(Two or more Races),Graduation Rate by Race/Ethnicity(Race/Ethnicity Unknown),Graduation Rate by Race/Ethnicity(Non-resident Alien),Murder/Non-negligent Manslaughter,Negligent Manslaughter,Rape,Fondling,Incest,Statutory Rape,Robbery,Aggravated Assault,Burglary,Motor Vehicle Theft,Arson,Domestic Violence,Dating Violence,Stalking,Weapons Arrests,Drug Abuse Arrests,Liquor Law Violation Arrests,Weapons Disciplinary Action,Drug Abuse Disciplinary Action,Liquor Law Violation Disciplinary Action,Programs
Asbury University,"1 Macklem Dr, Wilmore, Kentucky 40390-1198",(859) 858-3511,www.asbury.edu/,"4-year, Private not-for-profit","Associate's degree
,Bachelor's degree
,Master's degree",Town: Fringe,Yes,"1,720 (1,472 undergraduate)",14 to 1,www.asbury.edu/life/resources/handbook-community-life/au-mission-statement/,Master's Colleges & Universities: Small Programs,"ROTC (Army, Air Force),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad",Not applicable,"Dual credit,Advanced placement (AP) credits",79,110,7,"$32,652 ","$1,380 ","$8,340 ","$45,462 ",n/a,n/a,n/a,n/a,"$9,990 ","$20,921 ",41%,59%,0%,2%,5%,7%,0%,77%,2%,2%,5%,80%,20%,52%,45%,4%,8%,92%,55%,45%,100%,0%,n/a,"1,126",77%,30%,Required,Considered but not required,Required,Considered but not required,Considered but not required,Considered but not required,Considered but not required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,84%,65%,21%,59%,69%,n/a,100%,36%,31%,100%,67%,100%,46%,80%,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,10,
Ashland Community and Technical College,"1400 College Drive, Ashland, Kentucky 41101-3683",(606) 326-2000,ashland.kctcs.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Two but less than 4 years certificate",City: Small,No,"2,479 (all undergraduate)",16 to 1,ashland.kctcs.edu/about/mission-vision/index.aspx,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,Distance education – undergraduate programs offered,Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",67,83,n/a,n/a,"$1,078 ","$7,508 ","$16,142 ","$4,488 ","$15,240 ",n/a,n/a,n/a,"$6,689 ",40%,60%,0%,1%,1%,2%,0%,93%,2%,1%,0%,72%,28%,87%,13%,0%,n/a,n/a,56%,44%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70%,48%,8%,51%,46%,0%,n/a,0%,50%,n/a,49%,75%,n/a,n/a,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
ATA College,"10200 Linn Station Rd Ste 125, Louisville, Kentucky 40223",(502) 371-8330,www.ata.edu/,"2-year, Private for-profit","One but less than two years certificate
,Associate's degree",Suburb: Large,No,286 (all undergraduate),16 to 1,www.ata.edu/our-mission/,Special Focus Two-Year: Health Professions,"Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,Credit for life experiences,7,33,n/a,"$13,120 ","$3,416 ","$8,676 ","$31,386 ",n/a,n/a,n/a,n/a,n/a,"$4,423 ",5%,95%,0%,0%,42%,2%,0%,30%,6%,20%,0%,30%,70%,85%,15%,0%,n/a,n/a,100%,0%,n/a,n/a," $25
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,45%,54%,8%,0%,60%,n/a,n/a,17%,0%,n/a,79%,0%,0%,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barrett and Company School of Hair Design,"973 South Main St. Kimberly Square, Nicholasville, Kentucky 40356-2152",(859) 885-9136,barrett.edu/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",Town: Fringe,No,27 (all undergraduate),7 to 1,barrett.edu/about/,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",2,2,n/a,"$19,025 ","$1,000 ","$15,223 ","$38,732 ",n/a,n/a,n/a,n/a,n/a,"$3,654 ",7%,93%,0%,4%,19%,0%,0%,67%,11%,0%,0%,37%,63%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100%,14%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beckfield College-Florence,"16 Spiral Drive, Florence, Kentucky 41042",(859) 371-9393 x85937,www.beckfield.edu/,"4-year, primarily associate's, Private for-profit","One but less than two years certificate
,Associate's degree
,Bachelor's degree",Suburb: Large,No,753 (all undergraduate),14 to 1,"Beckfield College is a degree granting institution of higher learning dedicated to preparing learners for relevant professional, technical and business careers in a diverse, ethical, student-centered environment. In support of this mission, the College pursues the following principal objectives: - To provide, in all programs, a substantial concentration of courses designed specifically to prepare students for careers in the professions they have chosen. - To provide, in degree programs, appropriate general education courses which promote effective communication, sound reasoning and judgment, analytical skills, responsible and ethical behavior, and enlightened accommodation of behavioral and cultural diversity. - To provide faculty qualified by academic credentials, professional and/or teaching experience, and commitment to students' academic and professional success. - To provide services for assisting students in resolving issues and difficulties which might obstruct their pursuit of their education. - To provide library services which support the curriculum and enhance students' effectiveness in academic and professional research. - To provide career services which assist students and graduates in pursuing employment in careers appropriate to the objectives of their academic programs. The College has committed itself to preparing students for successful professional careers and providing them a sound basis for understanding and engaging an ever-changing world. Beckfield College does not discriminate on the basis of race, color, sex, sexual orientation, age, disability, national or ethnic origin, or religious belief as to the admission or other treatment of its students, prospective students, employees, or prospective employees.",Special Focus Four-Year: Other Health Professions Schools,Distance education – undergraduate programs offered,Not applicable,"Institution does not accept dual, credit for life, or AP credits",19,0,n/a,"$13,295 ","$2,000 ","$13,896 ","$36,886 ",n/a,n/a,n/a,n/a,n/a,"$6,441 ",5%,95%,0%,1%,12%,0%,1%,82%,3%,1%,0%,37%,63%,52%,48%,0%,n/a,n/a,94%,6%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bellarmine University,"2001 Newburg Rd, Louisville, Kentucky 40205-0671",(502) 272-8263,www.bellarmine.edu/,"4-year, Private not-for-profit","Two but less than 4 years certificate
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - research/scholarship
,Doctor's degree - professional practice",City: Large,Yes,"3,149 (2,407 undergraduate)",12 to 1,www.bellarmine.edu/about/mission/,Doctoral/Professional Universities,"ROTC (Army, Air Force),Teacher certification,Distance education – undergraduate courses offered, programs not offered,Distance education – graduate programs offered,Study abroad",Roman Catholic,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",179,235,1,"$44,920 ",n/a,"$9,420 ","$61,217 ",n/a,n/a,n/a,n/a,"$13,652 ","$34,108 ",37%,63%,0%,2%,7%,7%,0%,76%,5%,1%,1%,94%,6%,69%,30%,1%,44%,56%,8%,92%,27%,73%,$25 ,"4,228",86%,16%,Required,Recommended,Required,Required,Required,Considered but not required,Required,8%,67%,550,640,560,640,21,27,21,29,19,27,77%,65%,26%,68%,64%,0%,67%,62%,64%,100%,67%,37%,67%,40%,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,49,
Berea College,"101 Chestnut Street, Berea, Kentucky 40404-2182",(859) 985-3000,www.berea.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Distant,Yes,"1,468 (all undergraduate)",9 to 1,www.berea.edu/about/mission/,Baccalaureate Colleges: Arts & Sciences Focus,"Teacher certification,Study abroad",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",151,27,n/a,"$43,612 ",$700 ,"$7,484 ","$54,396 ",n/a,n/a,n/a,n/a,n/a,"$52,253 ",41%,59%,0%,4%,18%,14%,0%,47%,9%,1%,8%,97%,3%,55%,44%,1%,n/a,n/a,1%,99%,n/a,n/a,n/a,"1,736",33%,59%,Required,Required,Required,Recommended,Recommended,Considered but not required,Required,8%,46%,555,640,563,628,23,28,22,29,20,26,84%,66%,20%,59%,71%,50%,75%,54%,67%,n/a,67%,54%,60%,90%,0,0,4,1,0,0,0,0,3,0,0,2,2,1,0,0,0,0,8,6,
Big Sandy Community and Technical College,"1 Bert Combs Dr, Prestonsburg, Kentucky 41653",(606) 886-3863 x0,bigsandy.kctcs.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Two but less than 4 years certificate",Town: Remote,No,"2,162 (all undergraduate)",13 to 1,bigsandy.kctcs.edu/about/mission-vision/index.aspx,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,"Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",83,96,n/a,n/a,"$1,078 ","$7,508 ","$16,142 ","$4,488 ","$15,240 ",n/a,n/a,n/a,"$7,803 ",39%,61%,0%,1%,1%,1%,0%,94%,1%,2%,0%,73%,27%,99%,1%,0%,n/a,n/a,82%,18%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61%,32%,11%,33%,31%,0%,0%,20%,22%,n/a,31%,33%,45%,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bluegrass Community and Technical College,"470 Cooper Drive, Lexington, Kentucky 40506",(859) 246-6200,bluegrass.kctcs.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Two but less than 4 years certificate",City: Large,No,"9,750 (all undergraduate)",18 to 1,bluegrass.kctcs.edu/about/mission-vision/index.aspx,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,"Distance education – undergraduate programs offered,Study abroad",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",191,365,n/a,n/a,"$1,078 ","$7,508 ","$16,222 ","$4,568 ","$15,320 ",n/a,n/a,n/a,"$5,181 ",40%,60%,0%,2%,13%,9%,0%,70%,4%,1%,0%,67%,33%,99%,1%,0%,n/a,n/a,72%,28%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60%,35%,14%,35%,34%,100%,58%,24%,20%,67%,37%,32%,50%,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brescia University,"717 Frederica St, Owensboro, Kentucky 42301-3023",(270) 685-3131,www.brescia.edu/,"4-year, Private not-for-profit","Associate's degree
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree",City: Small,Yes,841 (752 undergraduate),12 to 1,www.brescia.edu/mission/,Baccalaureate Colleges: Diverse Fields,"Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Roman Catholic,"Dual credit,Advanced placement (AP) credits",42,61,0,"$26,950 ","$3,000 ","$10,204 ","$42,254 ",n/a,n/a,n/a,n/a,"$15,500 ","$23,641 ",36%,64%,1%,3%,11%,7%,0%,64%,0%,14%,0%,72%,27%,75%,22%,3%,63%,37%,67%,33%,98%,1%,$25 ,"1,952",53%,12%,Required,Considered but not required,Considered but not required,Considered but not required,Considered but not required,Considered but not required,Required,12%,86%,460,590,460,600,18,25,17,25,17,24,66%,49%,33%,46%,48%,100%,n/a,40%,0%,n/a,48%,0%,78%,0%,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
Brighton Center's Center for Employment Training,"601 Washington Ave., Suite 140, Newport, Kentucky 41071-1968",(859) 491-8303 x2200,www.brightoncenter.com/,"< 2-year, Private not-for-profit",One but less than two years certificate,Suburb: Large,No,93 (all undergraduate),10 to 1,"The mission of Brighton Center, Inc. is to create opportunities for individuals and families to reach self-sufficiency through family support services, education, employment and leadership. We will achieve this mission by creating an environment that rewards excellence and innovation, encourages mutual respect and maximizes resources.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Distance education – undergraduate courses offered, programs not offered",Not applicable,Dual credit,6,0,n/a,"$9,185 ",$400 ,"$6,600 ","$19,403 ",n/a,n/a,n/a,n/a,n/a,"$8,350 ",3%,97%,1%,0%,42%,1%,0%,54%,2%,0%,0%,32%,68%,88%,13%,0%,n/a,n/a,73%,27%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38%,33%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
